hours_studied,attendence,assignment_score,result
8,95,90,Pass
7,90,85,Pass
6,88,80,Pass
5,75,70,Pass
4,70,65,Pass
3,60,55,Fail
2,55,50,Fail
1,45,40,Fail
9,98,95,Pass
10,99,98,Pass
2,95,95,Pass
2,90,92,Pass
5,30,20,Fail
6,95,92,Pass
7,88,85,Pass
8,92,90,Pass
5,80,78,Pass
4,85,88,Pass
3,90,95,Pass
2,75,85,Pass
1,98,100,Pass
8,50,40,Fail
7,45,35,Fail
6,55,30,Fail
5,60,45,Fail
4,58,50,Fail
3,62,55,Fail
2,40,60,Fail
1,35,70,Fail
3,72,68,Fail
3,75,75,Pass
4,65,70,Fail
4,78,72,Pass
2,85,90,Pass
5,60,80,Fail
2,85,90,Pass
2,85,55,Fail
5,60,90,Pass
5,60,55,Fail
3,75,80,Pass
3,75,60,Fail
4,70,85,Pass
4,70,55,Fail
